,sales
1274,61
1275,12
1276,1
1277,1
1278,14
1279,22
1280,14
1281,3
1282,18
1283,34
1284,13
1285,10
1286,73
1287,29
1288,1
1289,56
1290,11
1291,16
1292,1
1293,11
1294,12
1295,4
1296,47
1297,1
1298,5
1299,15
1300,24
1301,11
1302,75
1303,13
1304,410
1305,6
1306,6
1307,3
1308,20
1309,37
1310,48
1311,24
1312,2
1313,2
1314,8
1315,3
1316,1
1317,4
1318,4
1319,51
1320,5
1321,8
1322,12
1323,1
1324,2
1325,57
1326,2
1327,28
1328,15
1329,361
1330,8
1331,95
1332,1
1333,10
1334,4
1335,15
1336,6
1337,21
1338,39
1339,2
1340,253
1341,3
1342,9
1343,10
1344,9
1345,7
1346,6
1347,3
1348,4
1349,64
1350,3
1351,11
1352,4
1353,17
1354,16
1355,78
1356,224
1357,1
1358,2
1359,2
1360,7
1361,29
1362,6
1363,15
1364,9
1365,1
1366,6
1367,5
1368,61
1369,7
1370,19
1371,3
1372,1
1373,36
1374,112
1375,1
1376,110
1377,6
1378,99
1379,3
1380,6
1381,2
1382,41
1383,2
1384,71
1385,171
1386,6
1387,6
1388,8
1389,82
1390,10
1391,56
1392,33
1393,4
1394,1
1395,15
1396,2
1397,4
1398,43
1399,13
1400,7
1401,2
1402,1
1403,45
1404,190
1405,76
1406,52
1407,2
1408,23
1409,2
1410,45
1411,38
1412,2
1413,1
1414,44
1415,14
1416,26
1417,23
1418,36
1419,4
1420,5
1421,1
1422,11
1423,6
1424,39
1425,23
1426,51
1427,22
1428,13
1429,9
1430,8
1431,2
1432,259
1433,9
1434,7
1435,2
1436,15
1437,17
1438,22
1439,11
1440,1
1441,2
1442,5
1443,3
1444,3
1445,1
1446,1
1447,10
1448,4
1449,25
1450,15
1451,1
1452,3
1453,16
1454,3
1455,15
1456,638
1457,57
1458,9
1459,1
1460,11
1461,2
1462,3
1463,28
1464,8
1465,3
1466,6
1467,6
1468,10
1469,52
1470,40
1471,4
1472,16
1473,24
1474,13
1475,11
1476,11
1477,14
1478,151
1479,4
1480,39
1481,15
1482,165
1483,13
1484,1
1485,3
1486,29
1487,8
1488,3
1489,4
1490,125
1491,19
